gene_name	C1	C2	C3	M1	M2	M3	FatBodyHet_1	FatBodyHet_2	FatBodyHet_3	FatBodyMut_1	FatBodyMut_2	FatBodyMut_3
snoRNA:Psi28S-3316d	4	0	0	3	1	2	0	0	2	0	1	0
snoRNA:Psi18S-841c	0	0	0	1	0	3	0	0	0	0	0	0
snoRNA:Psi28S-3316e	0	1	0	0	1	1	0	1	0	0	1	0
snoRNA:Psi18S-841d	0	0	0	0	0	0	0	2	0	2	0	0
snoRNA:Me28S-A2589c	0	0	0	0	0	0	0	0	0	0	0	0
snoRNA:Psi18S-1389a	1	2	1	1	1	0	0	1	0	1	3	2
snoRNA:Psi18S-1389b	0	0	3	0	0	0	0	0	0	0	0	2
snoRNA:Me28S-G2596	0	0	0	0	0	0	0	0	0	0	0	0
snmRNA:184	0	0	0	0	0	0	0	0	0	0	0	0
BBS9	6	6	2	2	8	9	1	1	0	0	0	3
CG9822	13	3	8	8	29	21	0	0	0	0	0	0
CG17974	484	252	460	430	1271	593	0	3	2	0	0	4
cv-2	92	105	83	83	183	95	107	75	70	48	46	63
CG10795	56	70	68	61	98	71	31	43	32	36	49	54
eEFSec	48	45	32	60	80	51	50	30	53	38	41	59
Acox57D-p	655	710	775	817	1200	633	746	596	653	270	303	329
Acox57D-d	998	854	876	858	1599	947	903	897	733	1192	1391	1858
Sdc	1487	1567	1571	1252	2450	1622	1509	1204	2277	2678	1991	1413
Sara	550	490	532	447	912	511	204	230	273	316	356	375
Fkbp14	4340	4701	4469	3392	5465	3221	5568	4979	5697	3972	4444	4324
CG46395	0	1	0	0	0	0	0	0	0	0	0	0
TAF1C-like	148	171	143	124	222	164	174	152	159	86	186	154
MESK2	459	543	443	555	870	580	152	140	175	208	175	223
CG10494	23	40	30	37	56	33	19	15	25	19	40	29
CG30288	6	8	14	7	7	7	31	28	42	15	25	24
CG30289	170	206	188	133	169	62	905	860	918	323	249	331
Egfr	638	776	675	449	969	590	1531	1106	1524	980	895	1019
lncRNA:CR44725	10	2	8	1	1	1	28	16	22	9	3	8
CG30286	0	2	5	2	0	1	4	2	1	3	0	0
CG30287	0	2	1	0	0	0	1	5	0	3	0	0
CG33226	22	30	31	22	23	21	44	90	37	19	22	13
CG30283	61	46	53	41	71	46	5	4	7	0	0	26
twz	18	31	27	22	37	27	0	1	4	7	3	0
CG30222	0	1	0	0	0	0	0	0	0	0	0	0
CG33225	2	8	7	7	8	14	8	2	5	1	0	0
lncRNA:CR45150	0	0	0	0	0	0	0	0	0	0	0	1
CG10433	489	449	429	881	1096	560	823	697	608	2862	2500	2917
asRNA:CR43243	0	1	0	0	0	0	1	0	0	0	0	1
CG15673	69	75	73	94	151	86	0	3	4	6	19	31
CG18870	54	46	52	31	76	60	16	28	12	24	16	27
clt	540	510	475	623	917	550	813	726	791	1258	1965	1928
PTP-ER	258	277	243	217	464	311	214	181	219	161	272	208
mahj	705	775	678	577	1210	879	950	910	976	909	1169	1158
asRNA:CR42547	21	9	13	11	16	10	0	1	4	4	0	14
CG15674	129	108	141	126	239	121	0	0	1	7	0	0
CG10321	366	368	363	370	719	394	303	332	259	246	236	276
CG10082	365	355	400	467	770	417	94	119	165	498	405	424
CG30284	0	0	0	0	0	0	0	0	0	0	0	0
asRNA:CR43786	0	0	0	0	0	0	0	0	0	0	4	1
ND-B12	1604	1577	1536	2141	2975	1979	1973	1888	1468	1737	2387	2260
Rae1	285	320	271	316	511	330	354	345	254	245	318	368
pirk	131	112	168	102	176	138	2	0	6	14	7	13
lncRNA:CR44748	0	2	1	0	6	1	0	0	1	4	3	0
CG42362	0	0	0	0	0	0	0	0	0	0	0	0
CG42363	0	0	0	0	0	0	0	0	0	0	0	0
CG42364	0	1	0	0	1	1	0	0	0	0	0	0
CG42365	66	73	60	77	110	73	43	45	47	51	57	55
PIG-M	0	0	0	0	0	0	0	0	0	0	0	0
CG42380	0	0	0	0	0	0	0	0	0	0	0	0
CG42379	0	0	0	0	0	0	0	0	0	0	0	0
CG42381	0	0	0	0	0	0	0	0	0	0	0	0
NC2alpha	76	104	105	112	187	105	132	139	111	127	178	172
CG15676	0	0	0	0	2	0	0	0	0	0	0	0
stum	1	2	1	7	2	5	0	0	0	0	0	0
eIF3k	1475	1595	1511	2191	3043	2171	1578	1732	1375	1739	2006	2214
Tbp	101	110	133	118	224	123	107	138	109	104	96	174
CG30285	21	19	19	15	37	9	1	5	6	6	0	5
CG10307	9	2	7	3	5	4	0	0	0	0	0	1
Tim10	81	67	89	72	95	73	150	115	104	77	106	92
CG42497	0	0	0	0	0	0	0	0	0	0	0	0
Ppcdc	0	0	0	0	0	0	0	0	0	0	0	0
CG42496	0	0	0	0	0	0	0	0	0	0	0	0
CngB	49	79	64	61	132	61	0	0	3	3	1	6
HmgZ	3715	4072	3729	2967	5913	3973	4851	4553	3153	4609	5066	6807
HmgD	2161	2558	2326	1997	3547	2307	1095	993	1085	625	771	1088
lncRNA:CR44749	10	7	6	3	3	2	4	2	0	3	3	2
CG30403	30	35	35	29	41	44	32	32	22	11	13	30
Tango11	593	509	570	607	1029	630	501	509	459	515	609	810
CG30398	0	0	0	0	0	0	0	0	0	0	0	0
LBR	225	211	179	169	271	202	325	319	237	118	164	162
lncRNA:CR44750	0	0	0	0	0	0	0	0	0	0	0	0
Grx1t	0	0	1	0	0	0	0	0	0	0	0	0
lncRNA:CR43983	0	0	0	0	0	0	0	0	0	0	0	0
CG43982	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR43984	0	0	0	0	0	0	0	0	0	0	0	0
CG30395	1	4	2	0	1	0	10	8	14	0	0	0
CG4021	0	0	0	0	0	1	0	0	0	0	0	1
Loxl2	2	0	0	1	8	3	0	0	0	0	0	0
CG34204	0	0	0	0	0	0	0	0	0	0	0	0
CG18735	7	2	3	5	0	0	0	0	0	0	0	0
tpr	579	627	646	123	262	131	2	2	16	1	7	1
lncRNA:CR9284	0	0	0	0	0	0	0	0	0	0	0	0
CG13492	3263	1920	2495	3106	5006	3267	4	3	5	4	2	0
CG34040	0	0	0	1	1	0	0	0	0	0	0	0
CG4363	419	426	452	726	1025	514	1	0	2	0	0	0
CG4377	372	372	413	728	823	427	2	1	3	2	0	0
CG4372	0	1	0	0	0	0	0	2	1	0	0	0
tRNA:Gly-TCC-2-1	0	0	0	0	0	0	0	0	0	0	0	0
tRNA:Gly-TCC-2-2	0	0	0	0	0	0	0	0	0	0	0	0
CG9294	0	0	0	0	0	0	0	0	0	0	0	0
comr	0	0	0	2	3	0	0	1	6	0	0	0
Fili	48	82	64	50	134	71	22	27	28	28	15	43
PpN58A	0	1	1	0	0	0	2	3	0	0	2	5
CG43742	452	510	467	220	427	263	2480	2462	2357	1003	1067	1508
CG13488	5	17	18	12	31	13	0	0	1	3	18	7
CG43405	0	0	1	0	0	0	0	0	0	0	0	0
CG13494	0	0	0	0	0	0	0	0	0	0	0	0
ppk9	0	0	1	0	1	3	0	0	0	0	0	0
CG34029	0	0	0	0	0	0	0	0	0	0	0	0
CG9304	446	525	505	523	885	607	594	567	615	695	769	630
Gr58c	0	0	0	0	0	0	0	0	0	0	0	0
Gr58b	0	0	0	1	1	0	0	0	0	0	0	0
Gr58a	0	0	0	0	0	0	0	0	0	0	0	0
dany	7	3	4	0	5	2	0	0	10	0	0	0
CG34370	32	87	45	43	99	67	33	35	45	171	110	168
CG9308	0	0	0	0	0	0	0	0	0	0	0	0
PpD5	0	0	0	0	0	0	0	0	0	0	0	0
CG13500	0	0	0	0	0	0	0	0	0	0	0	0
CG13501	0	0	3	0	0	0	0	0	0	0	0	0
Snp	305	244	276	312	523	320	298	332	298	264	312	322
CG44249	17	19	16	12	33	19	20	18	15	16	18	21
CG11475	4	3	5	11	13	6	2	5	6	1	0	4
CG11474	713	682	767	801	1176	886	856	919	687	434	492	580
CG2921	193	186	176	229	406	272	134	149	173	211	273	334
GlcT	126	92	119	174	322	192	47	51	83	151	189	250
Synj	198	207	190	198	420	244	126	90	120	209	242	219
CG13502	2	4	4	3	10	1	0	0	0	0	0	1
CG43393	0	0	0	0	0	0	0	0	0	0	0	0
CG44163	0	2	0	3	0	8	0	0	0	0	0	0
CG11073	204	185	198	181	296	321	0	1	1	0	0	3
Plekhm1	178	184	161	202	287	205	202	212	200	231	344	290
Vrp1	314	283	219	200	433	302	93	90	102	79	109	163
CG30280	0	0	0	3	4	1	0	0	0	21	20	33
CG30281	0	0	0	2	0	1	0	0	0	0	3	3
mei-S332	30	34	25	32	58	39	17	7	13	29	19	21
GM130	730	706	745	752	1182	719	487	482	515	577	587	596
NtR	118	95	76	112	128	104	17	5	20	27	14	27
CG34205	0	0	0	0	0	0	0	0	0	0	0	0
a	188	256	196	163	277	224	53	44	74	13	18	17
CG11269	0	2	0	0	0	0	0	0	0	0	0	0
gom	2	1	1	0	1	1	2	0	4	0	0	4
CG34206	0	0	1	0	0	0	1	0	0	0	0	0
CG3045	125	139	108	125	195	137	209	222	203	128	178	271
CG6758	96	112	93	118	175	123	70	56	49	64	60	108
asRNA:CR45151	0	0	0	0	0	0	0	0	0	0	5	0
CG11170	48	42	50	66	74	45	59	48	57	30	81	89
CG11275	221	203	271	228	333	260	39	60	39	18	11	15
MED16	80	74	83	104	134	94	32	47	45	50	64	67
Vps35	835	929	851	872	1624	998	664	622	623	662	763	933
Swim	1241	1203	1352	1340	2137	1330	16	138	152	245	25	146
snoRNA:Or-CD1	0	1	0	0	0	0	0	0	0	0	1	0
asRNA:CR45376	0	0	0	0	0	0	0	0	0	5	0	0
Alp7	558	416	631	2	0	0	0	2	0	0	0	0
Alp2	6	4	9	0	0	0	0	0	0	0	0	0
Alp8	884	475	642	1	9	9	1	2	0	0	0	0
CG11291	0	0	0	0	0	0	0	0	0	0	0	0
ari-2	119	129	138	112	228	146	53	35	52	38	60	77
CG30278	2	0	0	0	0	0	0	0	0	0	0	0
Oatp58Da	135	131	163	163	252	132	0	0	0	0	0	0
Oatp58Db	25	37	32	29	46	23	0	0	0	0	0	0
Oatp58Dc	749	794	672	577	906	627	0	1	0	0	0	2
lncRNA:CR44755	0	0	0	0	0	0	0	0	0	0	0	0
dve	131	170	133	108	293	177	0	0	0	0	0	0
lncRNA:CR43422	0	0	0	0	0	0	0	0	0	0	0	0
CG5819	419	318	416	477	831	450	0	2	0	10	16	46
wdp	2907	2697	2765	2732	5120	3347	3991	4138	3394	4985	4086	4870
lncRNA:CR44758	15	20	13	20	39	14	0	0	0	0	0	0
Gp150	4496	4611	4762	4058	8506	5536	1465	1370	1753	3259	2927	3455
lncRNA:CR44756	3	0	0	0	1	0	0	0	0	0	0	0
CG34207	3	1	2	3	2	8	0	2	4	10	0	6
T3dh	472	457	487	474	783	484	1147	990	1177	729	836	871
pgc	0	0	1	0	0	3	0	2	2	7	0	2
CG34208	0	0	1	4	2	3	0	0	0	0	0	0
Liprin-gamma	135	155	112	101	212	144	2	4	2	2	4	4
CG11298	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR44759	0	0	0	0	0	0	0	0	0	0	0	0
Rtf1	519	499	529	450	866	574	336	332	354	336	356	410
lncRNA:CR45327	0	2	1	2	2	0	0	0	0	0	0	0
wrapper	20	57	34	30	78	52	1	2	3	4	0	1
CG13506	748	701	636	681	1081	779	8	19	27	5	2	19
lncRNA:CR44757	1	1	0	1	0	0	0	0	0	0	0	0
babos	219	299	250	301	477	302	11	19	52	42	6	22
lncRNA:CR44760	0	0	0	0	0	0	0	0	0	0	0	0
CG6044	35	47	37	34	40	43	0	0	0	0	0	0
VepD	4	2	2	5	4	2	0	0	0	0	0	0
qkr58E-3	275	305	305	281	549	314	160	164	181	197	225	201
Mes4	78	96	71	109	174	128	97	72	74	48	119	131
qkr58E-1	323	352	253	249	468	293	236	249	189	189	229	235
qkr58E-2	572	577	524	468	954	670	573	415	511	392	458	480
asRNA:CR45152	1	0	2	1	4	2	1	0	0	0	1	1
mRpS29	579	676	541	734	1147	792	903	1120	698	760	877	1095
rad50	124	158	146	145	289	221	122	113	147	89	160	188
CG10344	72	73	87	70	154	83	41	38	41	39	38	28
ppk12	4	15	8	4	7	7	0	3	1	0	0	0
CG10384	30	36	27	27	42	34	2	0	0	0	0	0
CG45062	0	1	0	1	3	1	0	0	0	0	0	0
CG45063	0	0	0	0	1	0	0	0	0	0	0	0
CG4752	1741	1655	1491	1438	2434	1550	687	745	763	470	492	600
CG4554	606	674	542	371	868	586	942	891	1151	629	717	676
CG4610	303	317	281	304	452	376	514	544	445	455	480	516
px	547	562	472	430	938	613	573	507	536	708	610	719
gas	96	64	88	119	194	125	22	45	36	81	182	152
CG11362	0	0	0	0	1	0	0	0	0	0	0	0
dnr1	217	165	190	125	268	188	10	3	13	7	5	12
CG3927	0	0	1	0	2	0	0	0	0	0	1	0
lncRNA:CR45328	0	0	0	0	0	0	0	0	0	0	0	0
CG4269	23	38	43	499	787	254	87	101	104	4239	5955	7650
CG4294	372	334	354	199	590	363	173	159	192	159	202	188
RpS16	10807	10357	11244	16197	20938	14988	15523	16133	13144	14463	15721	16546
snoRNA:Me28S-G2173	9	4	5	2	8	8	3	0	4	0	0	0
snoRNA:Psi28S-1175a	9	11	11	8	18	14	4	0	11	4	4	3
snoRNA:Psi28S-1175b	4	13	7	10	8	7	7	5	7	1	3	5
snoRNA:Psi28S-1175c	0	5	7	5	12	5	3	1	5	2	0	2
snoRNA:Or-aca1	6	9	12	6	17	7	4	0	5	3	0	1
Vps20	282	360	335	359	537	356	220	228	245	179	319	273
CG4329	0	0	2	2	3	0	0	0	0	0	0	1
CG33143	33	44	25	20	50	51	0	0	0	2	3	0
CG17807	94	91	85	129	183	117	124	115	103	102	114	131
Cdk9	126	149	129	152	277	185	134	155	154	124	151	217
bonsai	969	1059	995	1103	1749	1157	1442	1367	1142	1505	1465	1703
CG3732	179	172	190	144	290	202	110	102	138	70	115	110
RpS24	12798	12508	11992	15967	22193	15654	15288	17041	13516	14225	15023	16732
Ugt317A1	402	469	407	422	724	407	1266	1228	1490	1672	1329	1194
CG2852	9226	10120	9692	9929	15179	8868	13196	12383	14352	8817	9423	9000
CG30195	65	46	54	70	113	97	0	4	1	1	0	0
CG34446	109	91	89	134	187	137	1	2	0	0	0	0
CG34445	190	184	185	233	327	239	1	0	8	0	3	0
CG3746	80	70	76	95	121	94	0	1	0	2	0	0
nsr	4	2	2	4	5	1	0	0	2	5	4	2
Cyp6d2	33	14	14	6	27	14	0	2	6	0	6	12
CG30196	137	83	122	132	193	147	0	0	4	2	0	0
CG43325	0	0	0	0	1	0	0	0	0	0	0	0
CG43326	0	0	0	0	0	0	0	0	0	0	0	0
asRNA:CR45268	4	3	7	5	11	10	0	0	0	0	0	0
CG13511	0	0	0	0	0	0	0	0	0	0	0	0
CG13510	0	0	0	0	0	0	0	0	0	0	0	0
CG42565	0	0	0	0	0	0	0	0	0	0	0	0
CG42566	96	96	92	58	102	38	3	25	17	36	1	56
CG4250	100	112	121	134	229	108	12	11	26	18	7	40
CG42867	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR45269	0	0	0	2	0	0	0	0	0	0	0	0
lncRNA:CR42868	13	6	13	9	13	10	24	23	25	0	6	16
CG30273	0	0	0	0	0	0	0	0	0	0	0	0
CG30269	0	0	0	0	0	0	0	0	0	0	0	0
CG13516	178	150	154	164	288	175	9	11	7	1	2	3
RYBP	131	184	192	187	307	176	52	50	70	49	66	68
lncRNA:CR44761	0	0	0	0	0	0	0	0	0	0	0	0
Ppa	263	233	220	164	431	258	56	43	89	19	5	13
lncRNA:CR44762	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR44763	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR44764	2	0	0	0	0	0	0	0	0	0	0	0
robo1	157	192	172	120	248	188	12	14	29	25	16	18
CG30259	0	1	0	0	0	0	0	0	0	0	0	0
Obp59a	0	0	0	0	0	0	0	0	0	0	0	0
Obp58b	4	2	0	10	9	7	0	0	0	0	0	0
Obp58c	38	31	23	47	58	36	0	0	0	0	0	0
Obp58d	13	18	6	10	10	7	0	0	0	0	0	0
asRNA:CR43735	0	0	0	0	0	0	0	0	0	0	0	0
CG30275	0	0	0	0	0	0	0	0	0	0	1	0
CG30268	0	0	0	0	0	0	0	0	0	0	0	0
jbug	1350	1489	1357	1057	2475	1676	166	149	138	55	74	93
CG42260	29	47	23	23	71	70	0	5	1	12	9	5
CG13526	0	0	0	0	0	0	0	0	0	0	0	0
asRNA:CR30267	0	0	0	0	1	0	0	0	0	0	0	0
CG13527	0	0	0	0	0	0	0	0	0	0	0	0
CG30270	0	0	0	0	0	0	0	0	0	0	0	0
blw	36589	35801	34406	43049	65723	46197	55493	61943	44860	49385	50635	59027
CycB	150	177	144	146	247	139	14	65	50	44	6	48
stl	21	29	28	27	43	24	3	0	17	4	0	0
CG30271	0	3	3	1	7	5	0	0	0	0	0	0
CG42284	1	0	0	0	2	2	0	0	0	0	0	0
CG30274	4	2	3	2	7	1	0	0	0	0	0	0
MFS1	461	386	411	423	1181	489	0	0	0	0	0	0
CG30265	26	22	28	13	18	11	0	1	0	0	0	0
CG12490	11	5	9	1	3	10	0	0	2	13	2	6
CG9825	228	99	171	113	167	55	0	0	0	0	0	0
CG9826	146	109	117	94	190	166	1	1	0	0	0	6
CG3649	0	0	0	0	0	0	0	0	0	0	0	0
CG13531	301	299	292	203	501	320	235	212	248	257	238	366
RpL23	16813	17487	16862	21590	31645	21960	22791	23287	19636	21450	24269	26034
inaD	1	6	2	1	3	4	0	1	0	0	0	0
fd59A	1	8	4	5	6	6	1	0	0	0	0	0
CG13532	16	25	14	27	41	26	0	0	0	0	0	0
asRNA:CR45469	0	0	0	1	2	0	0	0	0	0	0	0
PIP5K59B	51	62	35	51	77	71	0	0	6	7	0	0
EMC8-9	573	600	595	658	1054	636	543	544	445	655	802	819
YME1L	1241	1269	1292	1253	2244	1472	1931	1869	1561	1740	2147	2347
asrij	407	450	406	671	829	635	649	659	499	658	1401	1251
Gmer	211	224	206	255	391	273	209	229	192	221	253	249
MED23	250	268	280	175	454	298	237	208	230	196	209	236
CG3700	67	121	83	130	197	149	74	67	166	117	56	103
nahoda	1116	1039	975	553	1379	1034	3	13	14	9	13	13
CG30187	297	388	329	272	453	288	1308	1286	1617	1047	1323	1309
Nup214	538	683	614	520	1073	774	608	662	694	559	656	676
ReepA	786	789	845	748	1347	989	225	189	200	162	190	300
CG3788	29	16	20	23	36	18	0	5	5	4	7	1
CNBP	9879	10939	9691	8406	16532	11828	11814	11950	11792	8219	10043	11219
CG9849	227	212	232	270	367	227	245	221	235	150	264	264
CG3831	36	65	62	87	143	68	251	286	173	326	272	420
CG42694	249	239	238	82	248	119	1201	1208	945	629	515	695
mir-9376	0	1	0	3	15	7	2	3	0	11	30	30
lncRNA:CR32835	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR44780	0	0	0	0	0	0	0	0	0	0	0	0
CG32834	0	0	0	0	0	0	0	0	0	0	0	0
CG32833	0	0	0	0	0	0	0	0	0	0	0	0
mir-4939	0	0	0	0	0	0	0	0	0	0	0	0
asRNA:CR42742	0	0	0	0	0	0	0	0	0	0	0	0
twi	6	13	6	11	18	9	0	0	0	0	0	0
CG9897	0	0	0	0	0	0	0	0	0	0	0	0
CG9896	153	129	146	136	310	151	0	0	0	0	0	0
CG42741	40	90	90	38	114	48	0	0	0	0	0	0
Fatp2	132	163	93	65	107	79	0	0	0	0	0	0
CG44253	0	0	0	0	0	0	0	0	0	0	0	0
DCTN3-p24	224	230	235	280	499	262	81	87	73	94	125	144
CG9890	117	120	117	137	237	165	150	148	118	85	151	137
PPO3	0	1	4	2	8	0	5	0	0	5	11	8
l(2)k09913	1285	993	1252	1507	2195	1344	617	551	808	569	776	811
tRNA:Ser-TGA-1-1	0	0	0	0	0	0	0	0	0	0	0	0
tRNA:Ser-TGA-2-1	0	0	0	0	0	0	0	0	0	0	0	0
Fib	1233	1540	1194	1425	2329	2102	3135	3491	2241	2075	2792	3031
snoRNA:229	4	5	3	2	4	8	12	6	11	4	2	3
CG3085	6	8	16	15	16	10	16	9	7	1	9	15
Art7	175	192	175	191	337	275	214	248	206	228	242	294
CG43659	0	0	0	0	0	0	0	0	0	0	0	0
Gr59a	0	0	0	0	0	0	0	0	0	0	0	0
Gr59b	0	0	0	0	0	0	0	0	0	0	0	0
CG9877	1182	968	1576	3382	4544	2484	0	0	3	3	7	1
CG13538	0	1	0	0	0	0	0	0	0	0	0	0
CG9876	5	3	4	0	2	2	0	0	3	0	0	0
RpL37b	31	7	31	24	29	6	0	0	54	2	0	1
CG42703	0	0	0	0	0	0	0	0	0	0	0	0
Gr59c	0	0	0	0	0	0	0	0	0	0	0	0
Gr59d	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR44781	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR44782	0	0	0	0	0	0	0	0	0	0	0	0
Klp59C	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR44455	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR44456	0	0	0	0	0	0	0	0	0	0	0	0
Gpdh2	0	0	0	0	0	0	0	0	0	0	0	0
CG30192	0	0	0	0	0	0	0	0	0	0	0	0
CG13544	0	0	0	0	0	0	0	0	0	0	0	0
Klp59D	0	0	0	0	1	0	0	0	0	0	0	0
CG43207	0	0	0	0	0	0	0	0	0	0	0	0
CG9899	3	1	6	1	8	1	0	0	4	0	0	0
CG13545	280	546	354	844	991	811	0	0	0	1	0	0
side-V	47	58	46	40	81	62	0	0	25	6	2	0
CG13539	0	0	0	0	0	0	0	0	0	0	0	0
LS2	0	1	2	0	2	0	0	0	10	0	0	0
CG3092	0	0	0	0	0	0	0	0	0	0	0	0
yip3	0	0	2	0	0	0	0	0	0	0	0	0
RpL22-like	98	46	139	143	216	99	4	2	383	2	0	0
CG12782	8	1	5	4	9	4	0	2	17	2	0	2
CG13540	13	6	13	14	23	3	0	1	32	5	0	0
ord	11	8	15	13	23	19	0	1	40	11	0	0
CG3124	0	0	0	0	1	0	0	0	0	0	0	0
CG13541	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR44783	0	0	0	0	0	0	0	0	0	0	0	0
Prosbeta5R1	0	0	0	0	0	0	0	0	0	0	0	0
HP1Lcsd	0	1	1	3	1	0	0	0	2	1	0	0
CG30412	0	0	0	0	0	0	0	0	0	0	0	0
CG30416	0	0	0	0	0	0	0	0	0	0	0	0
CG9861	2	0	2	4	2	1	0	0	2	0	0	0
tbrd-3	0	0	1	0	1	0	0	0	0	0	0	0
CG30413	67	93	88	244	357	187	0	0	0	0	0	0
CG3502	154	212	183	190	267	122	0	1	0	0	0	5
CG9863	0	0	0	0	0	0	0	0	0	0	0	0
CG34210	0	0	0	0	0	0	0	0	0	0	0	0
CR30409	0	1	0	5	2	3	2	1	6	5	2	1
Rpi	955	1064	964	464	807	584	2749	2881	1963	708	771	838
CG3500	110	106	98	109	180	102	76	75	68	83	150	112
CG9875	0	1	0	0	0	0	0	0	0	0	0	0
asRNA:CR44168	1	0	0	0	2	0	0	1	0	0	0	0
CG34423	17	28	21	28	31	24	15	29	17	24	102	71
Mthfs	162	170	166	293	374	282	522	451	492	583	733	808
vir	304	365	334	266	487	344	353	333	371	303	345	399
Ice1	174	187	181	145	317	235	168	178	182	170	207	232
Golgin245	790	934	869	655	1465	923	522	470	538	498	568	577
CG13551	3202	3405	3036	3901	6356	3992	4883	4544	4090	5859	7068	7152
yellow-d	737	682	782	621	940	638	1115	1258	1169	1224	709	778
yellow-d2	7	6	5	6	22	13	13	11	20	31	19	37
lncRNA:CR44784	2	2	1	1	5	0	0	0	1	0	4	0
CG30414	105	128	118	131	170	135	442	476	363	71	269	266
roh	3430	3342	3153	4185	6080	3844	4182	4884	3539	4539	4973	5576
eIF2Bdelta	305	433	399	399	688	481	445	379	376	559	1033	951
CG3530	278	280	266	321	471	350	157	168	137	189	244	202
CG3520	169	216	199	167	349	195	181	190	170	225	163	196
CG9812	1159	967	1194	1253	1957	1082	15	8	13	5	21	12
CG30411	52	60	91	88	140	81	0	2	0	0	0	1
CG9815	18	26	25	33	47	24	0	0	2	0	0	4
Or59a	0	1	0	0	0	0	0	0	0	0	0	0
CG43795	20	22	17	16	29	44	2	6	3	2	0	2
SkpF	0	0	0	0	0	0	0	0	0	0	0	0
Or59b	0	0	0	0	0	0	0	0	0	0	0	0
Or59c	0	0	0	0	0	0	0	0	0	0	0	0
CG13557	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR43792	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR43793	0	0	0	0	0	0	0	0	0	0	0	0
CG13558	0	0	0	0	0	0	0	0	0	0	0	0
CG13559	7	8	12	18	21	9	9	14	15	19	32	13
lncRNA:CR43794	0	0	0	0	0	0	0	0	0	0	0	0
CG3906	0	0	0	0	1	1	0	0	0	0	0	0
RabX1	108	138	135	137	225	154	142	159	100	166	180	200
mi	283	332	275	234	540	393	279	241	284	270	345	322
bw	27	46	23	21	32	34	9	14	13	4	7	9
ppk3	0	1	0	0	0	1	0	0	0	0	1	1
Gr59e	0	0	0	0	0	0	0	0	0	0	0	0
Gr59f	0	4	0	1	0	0	0	2	2	1	0	0
AIMP3	437	452	436	458	765	511	371	378	343	329	479	431
wmd	388	455	366	507	812	573	315	355	273	393	441	488
levy	3169	2976	2776	4139	5847	4004	3736	4181	2640	3530	5093	5161
pita	265	315	274	372	544	368	321	309	241	177	263	305
Dcp-1	97	97	92	85	171	122	22	26	43	52	66	57
Rrp4	276	274	264	307	454	308	453	439	373	204	368	418
ItgaPS5	36	26	20	14	22	9	9	3	10	2	1	5
Pi3K59F	213	185	173	194	317	215	163	159	143	134	183	182
CG30184	0	0	0	0	0	0	0	0	0	0	0	0
apt	344	399	317	302	623	376	2	5	27	23	16	11
CG42560	0	0	0	0	0	0	0	0	0	0	0	0
CG42559	0	0	0	0	0	0	0	0	0	0	0	0
IM18	0	0	0	0	0	0	0	0	0	0	0	0
CG10332	0	0	0	0	0	0	0	0	0	0	0	0
CG43209	0	0	0	0	1	1	0	0	0	0	0	0
Eglp1	0	0	0	0	0	0	0	0	0	0	0	0
Eglp2	312	251	272	403	650	416	46	56	31	21	36	17
Eglp3	41	39	33	56	105	45	0	0	0	0	0	2
Eglp4	3490	3808	3496	4208	6204	4434	13804	15494	11111	9812	7679	8297
retn	53	84	44	49	117	71	0	0	16	7	0	3
lncRNA:CR45153	0	1	1	0	0	0	0	0	0	0	0	0
Pde8	601	658	648	510	1086	755	282	281	320	144	191	175
St1	102	145	28	4	5	5	0	0	0	0	0	0
St3	68	76	88	56	96	56	0	2	0	0	6	0
l(2)efl	2119	1782	1938	2329	3402	2687	1	3	11	0	0	4
Pal2	184	257	191	248	364	261	0	2	1	1	4	0
CG30183	85	83	81	81	158	108	94	66	121	122	91	133
angel	149	112	135	135	211	141	59	85	69	64	91	90
mRpL43	483	487	438	562	827	601	653	632	453	683	998	1082
sigmar	234	286	295	253	442	229	53	44	82	54	91	89
l(2)dtl	88	91	84	126	168	112	63	86	88	88	155	102
Alg3	281	308	295	378	502	313	423	405	384	285	285	317
CG5504	735	880	737	701	1262	935	1548	1928	1050	1329	1319	1573
asRNA:CR45326	0	0	0	0	0	0	0	1	1	0	0	1
Sesn	3	4	3	5	2	3	2	1	3	4	0	0
CG46429	0	0	0	0	0	0	0	0	0	0	0	0
CG18128	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR45325	1	0	1	0	0	0	0	0	0	0	0	0
mir-4979	0	0	0	0	0	0	0	0	0	0	0	0
egl	852	834	833	659	1369	775	259	230	292	215	211	237
CG13560	1285	2302	1945	5010	8291	4983	71	20	5	35	87	1606
